235000,FRM DE BRUYERES,02300,Quierzy,128,3.136443,49.55604
95100,RUE DE L ECOLE,02000,Étouvelles,90,3.580592,49.520496
108000,RUE LOUIS LUMIERE,02800,Beautor,76,3.346094,49.654117
157000,RUE SAINT FIACRE,02300,Commenchon,91,3.154416,49.642488
170000,LE CHEMIN DE FRONTIGNY,02190,Lor,,4.044498,49.528339
17000,PRES DE DERRIERE LA ROSIER,02860,Laval-en-Laonnois,,3.601719,49.504911
65000,RUE DE L ETANG,02190,Pignicourt,85,4.027462,49.414132
60000,LE VILLAGE,02860,Chérêt,,3.683078,49.514649
95000,LES LONGUES RAYES,02360,Raillimont,,4.149443,49.704495
88835,LES MOULIGNEAUX NORD,02340,Vigneux-Hocquet,,3.982733,49.731029
69300,RUE DU VERMANDOIS,02800,La Fère,,3.358968,49.662308
180000,RUE DE RUTHIL,02270,Chalandry,88,3.637908,49.678015
110000,AU DESSUS DE QUINCAMPOIX,02420,Bony,,3.236391,50.0024
195000,RUE JEAN BUDNICK,02720,Homblières,,3.368141,49.848032
41000,RUE D ISLE,02100,Saint-Quentin,32,3.290455,49.845695
125000,RUE DU THIL,02390,Origny-Sainte-Benoite,,3.49497,49.837027
217464.12,PL DE L HOTEL DE VILLE,02100,Saint-Quentin,59,3.287234,49.845883
25000,OULCHY LE CHATEAU,02210,Oulchy-le-Château,,3.369431,49.206155
134000,RUE DES TROIS ROYS,02200,Soissons,,3.331514,49.382285
57000,RUE DU MOULIN BOTTE,02200,Courmelles,43,3.315713,49.354001
90061.64,AV DE REIMS,02200,Soissons,120,3.330813,49.376572
15000,LE CHAMP DES LOUIS,02220,Bazoches-sur-Vesles,,3.613754,49.309735
14232,ANCIEN CHEMIN DE PARIS,02220,Saint-Thibaut,,3.616659,49.277377
3000000,LE GD DOMAINE DE ROUGE MAI,02370,Vailly-sur-Aisne,,3.537671,49.426153
241500,LES TREILLES,02370,Chassemy,,3.508882,49.379209
120900,RUE DU BELVEDERE,02880,Cuffies,74,3.328104,49.398149
145000,LE FONGEARD,02880,Cuffies,,3.321976,49.400259
180000,VILLE SUD OUEST,02600,Villers-Cotterêts,,3.088583,49.251973
161989.5,LA GROSSE PIERRE,02220,Quincy-sous-le-Mont,,3.558867,49.310143
368000,LA TUILERIE ET LE PONCEAU,02200,Soissons,368,3.351553,49.385098
168000,RUE DU MARTROY,02220,Braine,60,3.53461,49.342206
837700,L EPINETTE ET CHEM DES BLO,02210,Muret-et-Crouttes,,3.44916,49.268881
7516,LES MILLY,02290,Tartiers,,3.231828,49.433685
13669,LES BRUGNIEAUX,02290,Tartiers,,3.223243,49.42572
16936,LES PRES DE SAINTE GENEVIE,02290,Tartiers,,3.230224,49.428803
38442,LES CHAMPEAUX,02290,Tartiers,,3.227068,49.432702
38442,ENTRE DEUX RUES,02290,Tartiers,,3.235248,49.430421
43059,LES VIGNES DU FOND DE FOUC,02290,Tartiers,,3.223555,49.426652
